t,count,mean_rate,m1_rate
1500459894,36,0.014687882496940025,0.0
1500459904,36,0.014628199918732222,0.0
1500459914,36,0.014569000404694455,0.0
1500459924,36,0.014510278113663845,0.0
1500459933,36,0.014457831325301205,0.0
1500459943,36,0.0144,0.0
1500459953,36,0.014342629482071713,0.0
1500459963,36,0.014285714285714285,0.0
1500459973,36,0.014229249011857707,0.0
1500459982,36,0.014178810555336747,0.0
1500459992,36,0.014123185562965868,0.0
1500460002,36,0.01406799531066823,0.0
1500460012,36,0.014013234721681589,0.0
1500460022,36,0.013958898797983715,0.0
1500460031,36,0.013910355486862442,0.0
1500460041,36,0.013856812933025405,0.0
1500460051,36,0.013803680981595092,0.0
1500460061,36,0.013750954927425516,0.0
1500460071,36,0.0136986301369863,0.0
1500460080,36,0.013651877133105802,0.0
1500460090,36,0.01360030222893842,0.0
1500460100,36,0.013549115543846444,0.0
1500460110,36,0.013498312710911136,0.0
1500460120,36,0.013447889428464699,0.0
1500460129,36,0.01340282948622487,0.0
1500460139,36,0.013353115727002967,0.0
1500460149,36,0.013303769401330377,0.0
1500460159,36,0.013254786450662739,0.0
1500460169,36,0.013206162876008804,0.0
1500460179,36,0.013157894736842105,0.0
1500460188,36,0.013114754098360656,0.0
1500460198,36,0.013067150635208712,0.0
1500460208,36,0.013019891500904159,0.0
1500460218,36,0.012972972972972972,0.0
1500460228,36,0.012926391382405745,0.0
1500460237,36,0.012884753042233358,0.0
1500460247,36,0.012838801711840228,0.0
1500460257,36,0.01279317697228145,0.0
1500460267,36,0.012747875354107648,0.0
1500460277,36,0.012702893436838392,0.0
1500460286,36,0.01266268026732325,0.0
1500460296,36,0.012618296529968454,0.0
1500460306,36,0.012574222843171499,0.0
1500460316,36,0.012530455969369997,0.0
1500460326,36,0.012486992715920915,0.0
1500460335,36,0.012448132780082987,0.0
1500460345,36,0.012405237767057202,0.0
1500460355,36,0.012362637362637362,0.0
1500460365,36,0.012320328542094456,0.0
1500460375,36,0.01227830832196453,0.0
1500460384,36,0.012240734444066644,0.0
1500460394,36,0.012199254490003388,0.0
1500460404,36,0.0121580547112462,0.0
1500460414,36,0.012117132278694043,0.0
1500460424,36,0.012076484401207649,0.0
1500460434,36,0.012036108324974924,0.0
1500460443,36,0.012,0.0
1500460453,36,0.011960132890365448,0.0
